Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,BRN,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,13,12,12,12,11,11,11,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,
Bhutan,BTN,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,223,217,191,184,178,174,169,164,158,171,147,140,131,122,113,104,95,87,79,73,66,60,54,50,46,43,40,38,36,34,32,
Botswana,BWA,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,517,506,494,480,464,446,429,414,400,386,370,354,337,322,310,341,293,287,280,275,270,267,264,262,259,255,250,245,239,234,229,
Central African Republic,CAF,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537,1561,1592,1629,1663,1699,1727,1762,1794,1827,1870,1917,1954,2010,2066,2121,2177,2224,2267,2307,2336,2358,2372,2375,2376,2371,2384,2385,2375,2347,2315,2260,
Canada,CAN,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,368,355,343,332,321,312,302,291,278,263,249,235,223,210,199,189,181,174,169,164,161,160,160,161,161,160,159,157,154,152,148,
Central Europe and the Baltics,CEB,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3087,2941,2782,2764,2847,2948,2922,2744,2386,1972,1650,1457,1325,1221,1140,1081,1033,986,934,872,816,766,727,708,699,686,664,639,609,574,550,529,
Switzerland,CHE,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,71,69,68,66,64,63,61,58,55,53,50,47,44,42,40,38,36,34,33,31,31,30,29,29,29,29,29,28,28,28,27,
Channel Islands,CHI,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,392,381,371,362,354,345,334,321,307,293,277,263,249,235,222,210,200,191,183,215,171,166,163,161,158,156,153,149,144,139,134,
China,CHN,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96360,92940,89779,87080,84719,82201,77396,70109,62612,55494,48281,42431,38304,34805,31782,29312,27263,25433,27985,22624,21400,20340,19612,19074,18674,18267,17876,17570,17226,16707,16207,15671,
Cote d'Ivoire,CIV,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6636,6617,6578,6580,6648,6761,6907,7090,7261,7401,7555,7725,7916,8079,8277,8492,8695,8891,9061,9199,9351,9507,9760,10006,10238,10429,10570,10630,10618,10566,10452,10308,
Cameroon,CMR,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7796,7993,8172,8354,8538,8699,8843,8945,9039,9123,9185,9224,9249,9280,9320,9377,9451,9543,9658,9768,9877,9989,10085,10156,10218,10277,10318,10337,10332,10284,10225,10164,
"Congo, Dem. Rep.",COD,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28067,28358,28678,28964,29292,29663,29822,29890,29925,30005,30295,30663,30925,31069,31066,30946,30754,30633,30622,30673,30719,30785,30852,30937,31140,31343,31520,31751,31925,32050,32152,32136,
"Congo, Rep.",COG,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612,1566,1521,1476,1429,1380,1333,1285,1236,1187,1139,1097,1052,1006,961,916,875,838,801,766,736,706,678,659,645,640,636,631,621,1014,590,571,
Colombia,COL,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,1676,1624,1574,1531,1493,1464,1445,1431,1417,1397,1371,1338,1300,1261,1224,1187,1150,1112,1073,1033,994,956,921,890,863,840,821,805,790,775,758,
Comoros,COM,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,157,157,156,155,154,152,150,148,145,142,141,141,140,137,133,128,123,117,112,107,102,98,95,93,90,88,86,83,81,79,77,
Cabo Verde,CPV,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,38,37,37,64,36,35,34,33,32,30,29,27,26,24,22,21,19,18,16,15,15,14,13,13,12,11,11,10,10,9,
Costa Rica,CRI,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,107,107,107,106,104,102,100,97,95,92,89,87,84,81,79,77,74,71,69,66,64,62,61,60,59,57,56,55,53,51,50,
Caribbean small states,CSS,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,319,312,305,296,288,280,273,269,263,258,253,243,235,229,222,216,209,202,196,189,183,179,173,171,166,162,158,153,188,143,139,
Cuba,CUB,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,279,283,284,284,281,274,261,244,225,205,187,172,162,154,148,143,138,134,129,124,119,113,110,109,110,111,113,112,110,107,103,
Curacao,CUW,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,15,15,15,15,15,15,16,15,15,15,14,13,13,12,11,11,10,10,9,9,9,8,8,8,8,8,8,7,
Czechia,CZE,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,168,161,154,148,141,134,126,118,109,99,88,78,69,63,58,55,53,51,49,48,48,48,49,50,50,50,49,48,47,46,45,
Germany,DEU,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,816,781,750,720,689,654,613,570,530,491,461,440,423,407,393,377,359,341,325,311,299,290,284,279,276,275,274,273,272,272,274,
Djibouti,DJI,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,289,301,273,279,275,275,276,277,277,275,272,268,263,259,255,253,252,250,247,242,236,228,219,211,203,196,189,182,176,170,164,
Dominica,DMA,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,
